vz_d,vx_d,trial_num,landing_rate,RREV_threshold,G1,RREV_sig,G1_sig,RREV_trigger,OF_y,My_d,impact_eul,impact_tdelta,alpha_mu,alpha_sigma,mu_ini,sigma_ini
1.5,0.0,0,,5.02,3.41,0.03,0.0,,,,,,[0. 0.],[0. 0.],[5.02 1.92],[1.5 1.5]
1.5,0.0,1,0.3913043439388275,4.78,5.64,0.0,0.02,4.988,0.0,-5.646999999999999,-133.44150201129153,0.20533333333332848,[0. 0.],[0. 0.],[6.25 3.09],[1.5 1.5]
1.5,0.0,2,0.4000000059604645,4.54,6.56,0.0,0.02,5.087833333333333,0.0,-6.566,-128.32240771803114,0.19133333333337532,[0. 0.],[0. 0.],[5.57 1.46],[1.5 1.5]
1.5,0.0,3,0.52173912525177,4.81,5.09,0.0,0.0,5.080916666666667,0.0,-5.088,-127.92665507227441,0.207833333333333,[0. 0.],[0. 0.],[3.28 3.53],[1.5 1.5]
1.5,0.0,4,0.0,4.16,0.48,0.0,0.01,,,,,,[0. 0.],[0. 0.],[6.65 4.36],[1.5 1.5]
1.5,0.0,5,0.0,6.9,0.38,0.03,0.0,,,,,,[0. 0.],[0. 0.],[2.98 1.11],[1.5 1.5]
1.5,0.25,0,,4.63,5.31,0.0,0.0,,,,,,[0. 0.],[0. 0.],[4.38 6.19],[1.5 1.5]
1.5,0.25,1,,3.94,4.16,0.0,0.01,,,,,,[0. 0.],[0. 0.],[4.01 1.02],[1.5 1.5]
1.5,0.25,2,0.6666666865348816,4.93,2.98,0.0,0.01,5.605,-0.8163750000000001,-2.9773750000000003,-125.33764321235822,0.25349999999999767,[0. 0.],[0. 0.],[5.71 3.9 ],[1.5 1.5]
1.5,0.25,3,0.0,6.76,0.48,0.12,0.01,,,,,,[0. 0.],[0. 0.],[5.74 1.46],[1.5 1.5]
1.5,0.25,4,0.5833333134651184,4.62,5.93,0.04,0.2,5.057214285714286,-0.7366428571428573,-5.936357142857143,-128.5415787742813,0.19885714285714226,[0. 0.],[0. 0.],[5.42 5.43],[1.5 1.5]
1.5,0.25,5,0.09090909361839294,4.11,6.46,0.0,0.01,4.828,-0.703,-6.457000000000001,-172.93599306307468,0.19599999999996953,[0. 0.],[0. 0.],[6.92 5.64],[1.5 1.5]
1.5,0.5,0,,4.7,3.09,0.03,0.0,,,,,,[0. 0.],[0. 0.],[2.39 1.2 ],[1.5 1.5]
1.5,0.5,1,0.7692307829856873,4.81,3.59,0.0,0.0,5.3613,-1.5614000000000001,-3.5914,-128.9720662047465,0.2362000000000025,[0. 0.],[0. 0.],[3.8  1.62],[1.5 1.5]
1.5,0.5,2,0.0,3.1,4.77,0.0,0.0,,,,,,[0. 0.],[0. 0.],[1.35 3.59],[1.5 1.5]
1.5,0.5,3,,6.12,1.11,0.02,0.0,,,,,,[0. 0.],[0. 0.],[6.14 2.94],[1.5 1.5]
1.5,0.5,4,,5.02,3.57,0.01,0.09,,,,,,[0. 0.],[0. 0.],[2.64 2.86],[1.5 1.5]
1.5,0.5,5,,4.15,4.85,0.0,0.02,,,,,,[0. 0.],[0. 0.],[1.74 5.69],[1.5 1.5]
1.5,0.75,0,,4.67,11.47,0.0,1.36,,,,,,[0. 0.],[0. 0.],[1.41 3.87],[1.5 1.5]
1.5,0.75,1,0.0,6.56,4.08,0.35,0.03,,,,,,[0. 0.],[0. 0.],[6.23 4.07],[1.5 1.5]
1.5,0.75,2,0.5,4.91,5.36,0.31,0.17,5.047200000000001,-2.2048999999999994,-5.4864,-130.43736263023786,0.2061999999999994,[0. 0.],[0. 0.],[4.6  3.72],[1.5 1.5]
1.5,0.75,3,,4.72,4.02,0.0,0.02,,,,,,[0. 0.],[0. 0.],[5.57 6.96],[1.5 1.5]
1.5,0.75,4,0.0,4.6,5.41,0.01,0.03,,,,,,[0. 0.],[0. 0.],[1.94 2.39],[1.5 1.5]
1.5,0.75,5,,4.52,7.32,0.0,0.01,,,,,,[0. 0.],[0. 0.],[5.89 6.09],[1.5 1.5]
1.5,1.0,0,0.8260869383811951,4.64,8.79,0.0,0.0,5.0377368421052635,-2.9345263157894736,-8.792,-125.40235287561127,0.17873684210526394,[0. 0.],[0. 0.],[2.36 6.17],[1.5 1.5]
1.5,1.0,1,0.0,5.41,0.39,0.0,0.01,,,,,,[0. 0.],[0. 0.],[6.58 1.06],[1.5 1.5]
1.5,1.0,2,0.6666666865348816,4.8,12.46,0.08,0.04,5.365499999999999,-3.1254999999999997,-12.43,-133.7309760067427,0.1720000000000006,[0. 0.],[0. 0.],[5.36 6.45],[1.5 1.5]
1.5,1.0,3,0.699999988079071,4.51,6.48,0.59,0.7,5.161142857142857,-3.0062857142857142,-6.401714285714285,-132.93693689552924,0.20514285714285826,[0. 0.],[0. 0.],[3.97 4.74],[1.5 1.5]
1.5,1.0,4,0.6666666865348816,4.98,6.09,0.24,0.02,5.144071428571428,-2.996285714285714,-6.087357142857143,-124.88438573160379,0.18857142857143128,[0. 0.],[0. 0.],[5.06 6.84],[1.5 1.5]
1.5,1.0,5,,5.05,7.31,0.0,0.01,,,,,,[0. 0.],[0. 0.],[4.76 6.64],[1.5 1.5]
1.5,1.25,0,,4.93,4.71,0.0,0.01,,,,,,[0. 0.],[0. 0.],[5.57 2.45],[1.5 1.5]
1.5,1.25,1,,4.21,3.63,0.07,0.0,,,,,,[0. 0.],[0. 0.],[4.49 1.81],[1.5 1.5]
1.5,1.25,2,,4.87,4.95,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.89 6.75],[1.5 1.5]
1.5,1.25,3,0.5555555820465088,4.5,5.84,0.0,0.0,4.9243,-3.5856000000000003,-5.844099999999999,-136.8765593239526,0.2077999999999946,[0. 0.],[0. 0.],[3.67 6.75],[1.5 1.5]
1.5,1.25,4,,4.49,8.79,0.0,0.08,,,,,,[0. 0.],[0. 0.],[4.2  6.81],[1.5 1.5]
1.5,1.25,5,,4.42,7.42,0.01,0.01,,,,,,[0. 0.],[0. 0.],[3.48 6.68],[1.5 1.5]
1.5,1.5,0,,4.65,6.67,0.0,0.01,,,,,,[0. 0.],[0. 0.],[2.57 6.05],[1.5 1.5]
1.5,1.5,1,,4.62,5.53,0.0,0.02,,,,,,[0. 0.],[0. 0.],[4.91 3.18],[1.5 1.5]
1.5,1.5,2,0.0,5.02,0.38,0.0,0.01,,,,,,[0. 0.],[0. 0.],[3.08 1.28],[1.5 1.5]
1.5,1.5,4,,4.33,7.49,0.0,0.0,,,,,,[0. 0.],[0. 0.],[2.15 6.74],[1.5 1.5]
1.5,1.5,5,0.7142857313156128,4.67,4.45,0.0,0.0,5.0912,-4.4484,-4.447066666666667,-138.43869709927304,0.2315999999999993,[0. 0.],[0. 0.],[2.71 4.41],[1.5 1.5]
1.5,1.75,0,0.0,3.89,4.18,0.01,0.01,,,,,,[0. 0.],[0. 0.],[3.46 3.93],[1.5 1.5]
1.5,1.75,1,0.0,1.78,6.07,0.0,0.0,,,,,,[0. 0.],[0. 0.],[1.16 3.28],[1.5 1.5]
1.5,1.75,2,,2.95,5.07,0.02,0.02,,,,,,[0. 0.],[0. 0.],[3.56 6.76],[1.5 1.5]
1.5,1.75,3,,5.03,2.79,0.0,0.0,,,,,,[0. 0.],[0. 0.],[5.17 6.63],[1.5 1.5]
1.5,1.75,4,0.0,4.29,7.38,0.0,0.02,,,,,,[0. 0.],[0. 0.],[5.64 6.05],[1.5 1.5]
1.5,1.75,5,,4.93,8.25,0.02,0.36,,,,,,[0. 0.],[0. 0.],[4.61 6.5 ],[1.5 1.5]
1.5,2.0,0,0.0,6.62,0.4,0.19,0.0,,,,,,[0. 0.],[0. 0.],[3.23 1.4 ],[1.5 1.5]
1.5,2.0,1,0.0,4.43,7.3,0.0,0.07,,,,,,[0. 0.],[0. 0.],[5.56 6.59],[1.5 1.5]
1.5,2.0,2,0.6086956262588501,4.79,7.76,0.01,0.07,5.098714285714286,-5.939714285714286,-7.699142857142857,-129.25030697681575,0.17471428571428863,[0. 0.],[0. 0.],[6.36 1.21],[1.5 1.5]
1.5,2.0,3,,5.0,4.47,0.0,0.02,,,,,,[0. 0.],[0. 0.],[6.23 4.87],[1.5 1.5]
1.5,2.0,4,0.0,4.71,7.31,0.0,0.01,,,,,,[0. 0.],[0. 0.],[5.67 5.46],[1.5 1.5]
1.5,2.0,5,0.0,5.75,11.0,0.02,0.98,,,,,,[0. 0.],[0. 0.],[6.23 4.71],[1.5 1.5]
1.5,2.25,0,,5.13,2.87,0.22,0.0,,,,,,[0. 0.],[0. 0.],[1.92 3.68],[1.5 1.5]
1.5,2.25,1,0.0,5.54,7.2,0.0,0.0,,,,,,[0. 0.],[0. 0.],[6.57 6.35],[1.5 1.5]
1.5,2.25,2,0.0,6.38,0.34,0.0,0.04,,,,,,[0. 0.],[0. 0.],[3.39 2.44],[1.5 1.5]
1.5,2.25,3,,4.31,2.13,0.05,0.02,,,,,,[0. 0.],[0. 0.],[6.27 1.81],[1.5 1.5]
1.5,2.25,4,0.6666666865348816,4.79,4.79,0.01,0.0,4.9335,-6.4655000000000005,-4.7885,-136.04108306925534,0.21799999999999642,[0. 0.],[0. 0.],[6.61 4.34],[1.5 1.5]
1.5,2.25,5,0.75,4.6,7.29,0.04,0.0,4.927066666666667,-6.457399999999999,-7.293266666666668,-124.04174504092445,0.19013333333333382,[0. 0.],[0. 0.],[2.31 2.63],[1.5 1.5]
1.5,2.5,0,0.0,4.42,9.14,0.0,0.33,,,,,,[0. 0.],[0. 0.],[3.12 3.01],[1.5 1.5]
1.5,2.5,1,0.0,7.83,0.81,0.0,0.01,,,,,,[0. 0.],[0. 0.],[5.97 2.88],[1.5 1.5]
1.5,2.5,2,0.1875,5.37,5.62,0.0,0.0,5.503,-8.013,-5.6226666666666665,-130.08087463423013,0.19199999999997885,[0. 0.],[0. 0.],[6.85 5.81],[1.5 1.5]
1.5,2.5,3,0.5263158082962036,4.87,3.64,0.04,0.0,5.3122,-7.7361,-3.6440999999999995,-142.54148111563967,0.24520000000000025,[0. 0.],[0. 0.],[3.67 3.78],[1.5 1.5]
1.5,2.5,4,0.0,3.99,3.95,0.0,0.01,,,,,,[0. 0.],[0. 0.],[1.43 2.45],[1.5 1.5]
1.5,2.5,5,0.0,4.69,7.28,0.01,0.03,,,,,,[0. 0.],[0. 0.],[4.75 4.63],[1.5 1.5]
1.5,2.75,0,0.0,3.35,4.79,0.0,0.0,,,,,,[0. 0.],[0. 0.],[2.51 1.72],[1.5 1.5]
1.5,2.75,1,0.0,4.68,7.55,0.0,0.0,,,,,,[0. 0.],[0. 0.],[4.05 6.35],[1.5 1.5]
1.5,2.75,2,0.0,4.22,0.31,0.01,0.0,,,,,,[0. 0.],[0. 0.],[1.15 1.35],[1.5 1.5]
1.5,2.75,3,0.0,4.71,7.07,0.02,0.59,,,,,,[0. 0.],[0. 0.],[5.59 6.6 ],[1.5 1.5]
1.5,2.75,4,,4.41,3.3,0.01,0.0,,,,,,[0. 0.],[0. 0.],[4.34 3.89],[1.5 1.5]
1.5,2.75,5,,4.8,6.47,0.0,0.18,,,,,,[0. 0.],[0. 0.],[4.37 4.24],[1.5 1.5]
1.75,0.0,0,0.4000000059604645,4.56,4.58,0.01,0.28,5.10225,0.0,-4.6775,-128.98365947032602,0.21174999999999855,[0. 0.],[0. 0.],[3.53 3.49],[1.5 1.5]
1.75,0.0,1,,4.76,4.36,0.01,0.02,,,,,,[0. 0.],[0. 0.],[1.52 3.94],[1.5 1.5]
1.75,0.0,2,,8.21,5.47,0.25,0.0,,,,,,[0. 0.],[0. 0.],[6.4  1.94],[1.5 1.5]
1.75,0.0,3,0.380952388048172,5.04,4.27,0.0,0.03,5.171625000000001,0.0,-4.2837499999999995,-131.6369064923486,0.23000000000001108,[0. 0.],[0. 0.],[4.86 2.77],[1.5 1.5]
1.75,0.0,5,0.25,5.22,4.79,0.0,0.0,5.290666666666667,0.0,-4.788666666666667,-130.25416877309445,0.20733333333333803,[0. 0.],[0. 0.],[6.07 4.37],[1.5 1.5]
1.75,0.25,0,0.5789473652839661,4.6,3.56,0.0,0.0,5.264909090909091,-0.6692727272727272,-3.5600000000000005,-123.61298122760469,0.23927272727272644,[0. 0.],[0. 0.],[3.28 3.5 ],[1.5 1.5]
1.75,0.25,1,0.3636363744735718,4.48,7.04,0.01,0.26,5.098375000000001,-0.6479999999999999,-7.101625,-133.22044728188143,0.17249999999999965,[0. 0.],[0. 0.],[5.7  5.87],[1.5 1.5]
1.75,0.25,2,0.0,1.59,0.56,0.01,0.0,,,,,,[0. 0.],[0. 0.],[1.54 2.48],[1.5 1.5]
1.75,0.25,3,0.7333333492279053,5.11,3.39,0.0,0.01,5.212363636363637,-0.6626363636363636,-3.392363636363636,-127.2446174415429,0.2423636363636619,[0. 0.],[0. 0.],[6.77 3.74],[1.5 1.5]
1.75,0.25,4,,4.66,4.53,0.03,0.01,,,,,,[0. 0.],[0. 0.],[6.89 1.79],[1.5 1.5]
1.75,0.25,5,0.695652186870575,4.65,4.57,0.0,0.01,5.1416875,-0.6534374999999999,-4.564625,-129.0123100251136,0.2210000000000017,[0. 0.],[0. 0.],[2.2 5.1],[1.5 1.5]
1.75,0.5,0,0.0,12.48,0.61,0.19,0.0,,,,,,[0. 0.],[0. 0.],[5.   1.05],[1.5 1.5]
